I (779698) MPU6050: g_total(raw)=1.011 g (ax=0.019, ay=-0.993, az=-0.189)
I (779798) MPU6050: g_total(raw)=1.012 g (ax=0.019, ay=-0.995, az=-0.182)
I (779898) MPU6050: g_total(raw)=1.006 g (ax=0.017, ay=-0.990, az=-0.180)
I (779998) MPU6050: g_total(raw)=1.007 g (ax=0.020, ay=-0.990, az=-0.184)
I (780098) MPU6050: g_total(raw)=1.010 g (ax=0.023, ay=-0.993, az=-0.181)
I (780198) MPU6050: g_total(raw)=1.009 g (ax=0.013, ay=-0.991, az=-0.187)
I (780298) MPU6050: g_total(raw)=1.007 g (ax=0.021, ay=-0.989, az=-0.191)
I (780398) MPU6050: g_total(raw)=1.011 g (ax=0.022, ay=-0.993, az=-0.188)
I (780498) MPU6050: g_total(raw)=1.007 g (ax=0.020, ay=-0.991, az=-0.180)
I (780598) MPU6050: g_total(raw)=1.006 g (ax=0.019, ay=-0.988, az=-0.185)
I (780698) MPU6050: g_total(raw)=1.013 g (ax=0.022, ay=-0.997, az=-0.181)
I (780798) MPU6050: g_total(raw)=1.014 g (ax=0.022, ay=-0.997, az=-0.183)
I (780898) MPU6050: g_total(raw)=1.016 g (ax=0.020, ay=-0.998, az=-0.190)
I (780998) MPU6050: g_total(raw)=1.009 g (ax=0.019, ay=-0.992, az=-0.183)
I (781098) MPU6050: g_total(raw)=1.007 g (ax=0.024, ay=-0.992, az=-0.173)
I (781198) MPU6050: g_total(raw)=1.008 g (ax=0.026, ay=-0.992, az=-0.180)
I (781298) MPU6050: g_total(raw)=1.014 g (ax=0.022, ay=-0.998, az=-0.179)
I (781398) MPU6050: g_total(raw)=1.004 g (ax=0.020, ay=-0.988, az=-0.178)
I (781498) MPU6050: g_total(raw)=1.006 g (ax=0.019, ay=-0.990, az=-0.179)
I (781598) MPU6050: g_total(raw)=1.008 g (ax=0.023, ay=-0.991, az=-0.178)
I (781698) MPU6050: g_total(raw)=1.010 g (ax=0.018, ay=-0.994, az=-0.179)
